course_id,learners_enrolled,status,error
noc26_hs181,771,OK,
noc26_hs182,402,OK,
noc26_hs183,399,OK,
noc26_hs184,2601,OK,
noc26_hs185,137,OK,
noc26_hs186,607,OK,
noc26_hs187,68,OK,
noc26_hs188,2682,OK,
noc26_hs189,120,OK,
noc26_hs190,192,OK,
noc26_hs191,179,OK,
noc26_hs192,316,OK,
noc26_hs193,6045,OK,
noc26_hs194,1937,OK,
noc26_hs195,99,OK,
noc26_hs196,89,OK,
noc26_hs197,188,OK,
noc26_hs198,1572,OK,
noc26_hs199,1023,OK,
noc26_hs200,935,OK,
noc26_hs201,165,OK,
noc26_hs202,71,OK,
noc26_hs203,1499,OK,
noc26_hs204,415,OK,
noc26_hs206,975,OK,
noc26_hs207,248,OK,
noc26_hs208,3231,OK,
noc26_hs209,440,OK,
noc26_hs210,1966,OK,
noc26_hs211,1949,OK,
noc26_hs212,81,OK,
noc26_hs213,264,OK,
noc26_hs214,250,OK,
noc26_hs215,241,OK,
noc26_hs216,1119,OK,
noc26_hs217,153,OK,
noc26_hs218,187,OK,
noc26_hs219,347,OK,
noc26_hs220,315,OK,
noc26_hs221,182,OK,
noc26_hs222,433,OK,
noc26_hs223,159,OK,
noc26_hs224,1580,OK,
noc26_hs225,471,OK,
noc26_hs226,650,OK,
noc26_hs228,131,OK,
noc26_hs229,65,OK,
noc26_hs230,180,OK,
noc26_hs231,843,OK,
noc26_hs232,656,OK,
noc26_hs233,73,OK,
noc26_hs234,167,OK,
noc26_hs235,324,OK,
noc26_hs236,1190,OK,
noc26_hs237,324,OK,
noc26_hs238,299,OK,
noc26_hs239,90,OK,
noc26_hs240,370,OK,
noc26_hs241,780,OK,
noc26_hs242,934,OK,
noc26_hs243,655,OK,
noc26_hs244,591,OK,
noc26_hs245,456,OK,
noc26_hs246,238,OK,
noc26_hs247,1032,OK,
noc26_hs248,330,OK,
noc26_hs249,5816,OK,
noc26_hs250,280,OK,
noc26_hs251,172,OK,
noc26_hs252,1216,OK,
noc26_hs253,413,OK,
noc26_hs254,369,OK,
noc26_lw11,1497,OK,
noc26_lw12,463,OK,
noc26_lw13,231,OK,
noc26_lw14,429,OK,
noc26_lw15,200,OK,
noc26_lw16,207,OK,
noc26_lw17,626,OK,
noc26_lw18,234,OK,
noc26_lw19,663,OK,
noc26_lw20,943,OK,
noc26_lw21,476,OK,
noc26_lw22,1581,OK,
noc26_lw23,547,OK,
noc26_lw24,605,OK,
noc26_lw25,340,OK,
noc26_lw26,1917,OK,
noc26_lw27,354,OK,
noc26_lw28,505,OK,
noc26_ma100,531,OK,
noc26_ma101,116,OK,
noc26_ma102,1260,OK,
noc26_ma103,88,OK,
noc26_ma104,128,OK,
noc26_ma105,79,OK,
noc26_ma106,91,OK,
noc26_ma107,410,OK,
noc26_ma108,128,OK,
noc26_ma109,146,OK,
noc26_ma110,200,OK,
noc26_ma111,63,OK,
noc26_ma112,48,OK,
noc26_ma113,215,OK,
noc26_ma114,138,OK,
noc26_ma115,196,OK,
noc26_ma116,443,OK,
noc26_ma117,56,OK,
noc26_ma118,68,OK,
noc26_ma119,723,OK,
noc26_ma120,102,OK,
noc26_ma121,172,OK,
noc26_ma122,523,OK,
noc26_ma123,653,OK,
noc26_ma124,96,OK,
noc26_ma125,88,OK,
noc26_ma126,288,OK,
noc26_ma127,111,OK,
noc26_ma128,69,OK,
noc26_ma129,422,OK,
noc26_ma130,757,OK,
noc26_ma131,272,OK,
noc26_ma132,180,OK,
noc26_ma133,746,OK,
noc26_ma134,103,OK,
noc26_ma135,97,OK,
noc26_ma136,78,OK,
noc26_ma137,176,OK,
noc26_ma138,109,OK,
noc26_ma139,460,OK,
noc26_ma140,1148,OK,
noc26_ma141,224,OK,
noc26_ma142,93,OK,
noc26_ma143,208,OK,
noc26_ma144,52,OK,
noc26_ma145,162,OK,
noc26_ma71,65,OK,
noc26_ma72,110,OK,
noc26_ma73,207,OK,
noc26_ma74,74,OK,
noc26_ma75,362,OK,
noc26_ma77,257,OK,
noc26_ma78,356,OK,
noc26_ma79,117,OK,
noc26_ma80,420,OK,
noc26_ma81,267,OK,
noc26_ma83,267,OK,
noc26_ma84,356,OK,
noc26_ma85,239,OK,
noc26_ma86,220,OK,
noc26_ma87,94,OK,
noc26_ma88,289,OK,
noc26_ma89,103,OK,
noc26_ma90,247,OK,
noc26_ma91,397,OK,
noc26_ma92,249,OK,
noc26_ma93,92,OK,
noc26_ma94,136,OK,
noc26_ma95,338,OK,
noc26_ma96,158,OK,
noc26_ma97,648,OK,
noc26_ma98,540,OK,
noc26_ma99,274,OK,
noc26_me104,,Removed / Unavailable,
noc26_me105,60,OK,
noc26_me106,238,OK,
noc26_me107,98,OK,
noc26_me108,48,OK,
noc26_me109,346,OK,
noc26_me110,242,OK,
noc26_me111,95,OK,
noc26_me112,1645,OK,
noc26_me113,271,OK,
noc26_me114,216,OK,
noc26_me115,131,OK,
noc26_me116,252,OK,
noc26_me117,117,OK,
noc26_me118,738,OK,
noc26_me119,153,OK,
noc26_me120,224,OK,
noc26_me121,133,OK,
noc26_me122,188,OK,
noc26_me123,758,OK,
